Date,Cases
22-Sep,28
21-Sep,11
20-Sep,14
19-Sep,21
18-Sep,45
17-Sep,28
16-Sep,42
15-Sep,42
14-Sep,35
13-Sep,41
12-Sep,37
11-Sep,43
10-Sep,51
9-Sep,76
8-Sep,55
7-Sep,41
6-Sep,63
5-Sep,76
4-Sep,81
3-Sep,113
2-Sep,90
1-Sep,70
31-Aug,73
30-Aug,114
29-Aug,94
28-Aug,113
27-Aug,113
26-Aug,148
25-Aug,148
24-Aug,116
23-Aug,203
22-Aug,179
21-Aug,172
20-Aug,235
19-Aug,209
18-Aug,218
17-Aug,270
16-Aug,266
15-Aug,301
14-Aug,360
13-Aug,258
12-Aug,400
11-Aug,321
10-Aug,311
9-Aug,373
8-Aug,454
7-Aug,422
6-Aug,445
5-Aug,693
4-Aug,407
3-Aug,355
2-Aug,604
1-Aug,369
31-Jul,557
30-Jul,630
29-Jul,274
28-Jul,360
27-Jul,497
26-Jul,411
25-Jul,336
24-Jul,289
23-Jul,378
22-Jul,438
21-Jul,327
20-Jul,264
19-Jul,338
18-Jul,211
17-Jul,380
16-Jul,295
15-Jul,221
14-Jul,248
13-Jul,168
12-Jul,256
11-Jul,289
10-Jul,143
9-Jul,149
8-Jul,122
7-Jul,168
6-Jul,98
5-Jul,68
4-Jul,99
3-Jul,62
2-Jul,73
1-Jul,76
30-Jun,61
29-Jun,68
28-Jun,47
27-Jun,41
26-Jun,28
25-Jun,33
24-Jun,18
23-Jun,18
22-Jun,13
21-Jun,17
20-Jun,25
19-Jun,13
18-Jun,18
17-Jun,20
16-Jun,11
15-Jun,12
14-Jun,10
13-Jun,8
12-Jun,5
11-Jun,7
10-Jun,4
9-Jun,0
8-Jun,2
7-Jun,4
6-Jun,1
5-Jun,3
4-Jun,8
3-Jun,7
2-Jun,9
1-Jun,4
