Date,Cases
25-Sep,14
24-Sep,3
23-Sep,24
22-Sep,23
21-Sep,10
20-Sep,12
19-Sep,3
18-Sep,47
17-Sep,28
16-Sep,31
15-Sep,36
14-Sep,32
13-Sep,32
12-Sep,35
11-Sep,34
10-Sep,35
9-Sep,77
8-Sep,41
7-Sep,38
6-Sep,56
5-Sep,63
4-Sep,72
3-Sep,158
2-Sep,94
1-Sep,48
31-Aug,55
30-Aug,103
29-Aug,208
28-Aug,198
27-Aug,91
26-Aug,150
25-Aug,132
24-Aug,70
23-Aug,91
22-Aug,157
21-Aug,149
20-Aug,228
19-Aug,201
18-Aug,200
17-Aug,245
16-Aug,240
15-Aug,266
14-Aug,341
13-Aug,205
12-Aug,361
11-Aug,269
10-Aug,276
9-Aug,350
8-Aug,382
7-Aug,360
6-Aug,395
5-Aug,639
4-Aug,343
3-Aug,333
2-Aug,571
1-Aug,318
31-Jul,524
30-Jul,598
29-Jul,245
28-Jul,301
27-Jul,511
26-Jul,407
25-Jul,343
24-Jul,267
23-Jul,351
22-Jul,444
21-Jul,307
20-Jul,223
19-Jul,324
18-Jul,180
17-Jul,419
16-Jul,293
15-Jul,218
14-Jul,247
13-Jul,137
12-Jul,239
11-Jul,174
10-Jul,279
9-Jul,148
8-Jul,106
7-Jul,162
6-Jul,118
5-Jul,70
4-Jul,97
3-Jul,64
2-Jul,68
1-Jul,60
30-Jun,58
29-Jun,70
28-Jun,42
27-Jun,36
26-Jun,22
25-Jun,14
24-Jun,20
23-Jun,17
22-Jun,17
