Date,Cases
20-Oct,2
19-Oct,4
18-Oct,1
17-Oct,0
16-Oct,2
15-Oct,4
14-Oct,6
13-Oct,10
12-Oct,14
11-Oct,12
10-Oct,12
9-Oct,10
8-Oct,10
7-Oct,4
6-Oct,13
5-Oct,11
4-Oct,12
3-Oct,6
2-Oct,8
1-Oct,14
30-Sep,11
29-Sep,9
28-Sep,4
27-Sep,16
26-Sep,11
25-Sep,13
24-Sep,5
23-Sep,24
22-Sep,25
21-Sep,9
20-Sep,8
19-Sep,22
18-Sep,42
17-Sep,27
16-Sep,32
15-Sep,39
14-Sep,37
13-Sep,35
12-Sep,33
11-Sep,39
10-Sep,40
9-Sep,73
8-Sep,41
7-Sep,36
6-Sep,59
5-Sep,64
4-Sep,79
3-Sep,112
2-Sep,86
1-Sep,58
31-Aug,65
30-Aug,112
29-Aug,81
28-Aug,108
27-Aug,106
26-Aug,144
25-Aug,134
24-Aug,99
23-Aug,202
22-Aug,177
21-Aug,169
20-Aug,237
19-Aug,208
18-Aug,211
17-Aug,263
16-Aug,247
15-Aug,283
14-Aug,371
13-Aug,217
12-Aug,395
11-Aug,294
10-Aug,298
9-Aug,376
8-Aug,416
7-Aug,398
6-Aug,434
5-Aug,700
4-Aug,398
3-Aug,380
2-Aug,626
1-Aug,354
31-Jul,579
30-Jul,694
29-Jul,255
28-Jul,353
27-Jul,515
26-Jul,437
25-Jul,339
24-Jul,280
23-Jul,386
22-Jul,450
21-Jul,347
20-Jul,246
19-Jul,343
18-Jul,188
17-Jul,415
16-Jul,302
15-Jul,224
14-Jul,257
13-Jul,168
12-Jul,239
11-Jul,181
10-Jul,281
9-Jul,156
8-Jul,118
7-Jul,164
6-Jul,124
5-Jul,67
4-Jul,101
3-Jul,65
2-Jul,72
1-Jul,72
30-Jun,60
29-Jun,71
28-Jun,41
27-Jun,40
26-Jun,30
25-Jun,33
24-Jun,20
23-Jun,17
22-Jun,11
